Teckningsatagare
Henrik Tisell
Elie Komo privat + via bolag
Finn-Ove Henriksen and Nina Henriksen
Ylber Rexhep
Tonoy Sayeed
Taulant Bara
Rasunda Forvaltning
Formue Nord
Inbox Capital
Ilija Batljan
Mikael Pettersson
Karl-Erik von Bahr
Stefan Tengvall
Johan Svensson
Sebastian Clausin
Fredrik Holst
Karolinska Development AB
Hans Wigzell
Mattias Svensson
Polynom Investment AB
Marcus Jensmar
Herenco Holding
Tre ej namngivna investerare utan bindande atagande
NCP-IVS Fund III
Thomas Rudbeck via Bobhund
Charlotte Klinge via CK Holding
Jesper Eigen Møller via bolag
Rothesay Limited
Lars Stigsson via LSCS Invest
Christer Fahraeus via Theop Seed Capital
Marcus Larsson via Deflexum
Midroc Invest
Proethos fond
Jimmy Jonsson
Henrenco Holding
Joel Malmborg
Vimpu Intressenter
Almi
JAJR Holding
Danica Pension
AFA Forsakring
Norron
Prior & Nilsson Fond- och kapitalforvaltning
Tern
Ylber Rexhepi
Tuvedalen
Bernhard von der Osten-Sacken
Ilija Batjlan via Ilija Batljan Invest
Helikon Investments
Peter M. Anker via Langebru
Gulfstream Investment Group
James Brown
WMG Advisors
Movenio Fastigheter
Tham Special Investment
Dafo Brand
Consensus Lighthouse Asset
Hampus Ljunggren
Skandia Liv och Skandia Fonder
PriorNilsson
Bell Rock Capital Management
Cicero Fonder
Michael Hall
Bengt Andersson
Paginera Invest
Atlant Fonder
Kuvari Partners
Lugard Road Capital
Capital Worlds Investors
Blackrock
Ophir Asset Management
Robert Eklann
Mark Hausschild
Silva Gomes
Fastighet Vasterbro
Klas Westholm via bolag
Johan Wieslander via bolag
Monesi Forvaltning
Thomas Lundqvist
Joel Eklund via Fosielund Holding
Mastan
JCC Group Invest Sweden
Tibia Konsult
Östersjostiftelsen
Peder M. Andersen
Richard Forster
Niels Laursen
Milan Pournouri
Oliver Aleksov
Per Vasilis
Marcus Kinnander
Jens Olsson
Sabouri Gruppen
Rune Loderup
Per-Ola Rosenqvist privat och via Ironblock
RAM ONE
E. Öhman J:or
LMK Venture Partners
Grenspecialisten
Erik Syrén
Thoren Tillvaxt AB
Hans Isoz
Exceca Allocation AB
Jacob Grapengiesser
Mona Hamilton
Victory Net Foundation
Eber Holding
Mikael Blihagen
Strategic Wisdom
Stefan Lundgren
EveryMatrix
Jens Olessen
Per Nilsson
Tradecity
Arash Pournouri
Wictor Billstrom
Enter Fonder
Patrik Byhmer via bolag
M2 Asset Management
Altira
Stena Finans
Hans Eckerstrom via bolag
Patrik Bloch
David Wallsten
Martin Bauer
Dariush Hosseinian
Nortal Investment
Edvin Austbø
Nordic Cross Small Cap Edge
Rockpoint 
T-bolaget
FE Fonder
J.O. Mollerstrom Brothers Operation
EIME Consultants
Polar Structure
Bjorn Berg
Roger Karlsson via bolag
Anders Ericsson
TIN Fonder
Knutsson Holdings
Norron Select
Erik Selin via bolag
Erik Hydeskov
Richard Kilander
White Star Capital
DCG International Investments
Northzone VII
Torbjorn Nilsson
Frank Schuil via bolag
BNP Paribas
Goda Tider AB
Accendo Capital
Thomas Jansson via bolag
Scorpio AB
Krefting Finans
Fortic Finans
Jens Erik Martin Olsson
SML Holding
Goran Kallebo
Pegroco Invest
Christian von Koenigsegg
P&CS invest
Alderfalk Group
Jofur Invest
Consciousness
Öresund Growth Partner
Dan Sten Olsson och Erik Nielsen
Skandia
Cliens Fonder
Hakan Ronnberg
MW Asset Management
Olga Ronnberg
Thomas Lindgren via bolag
Heronstone Holding
Egonomics
Capgro
Mats Invest
Capitator
Invus
Nordea
Argenta Fund
Dividend Sweden
Per-Ola Rosenqvist via bolag
Sami Sulieman
FE Smabolag Sverige
Provobis
Bure
AMF Pensionsforsakring
SEB Fonder
OstVast Capital Management
Alcur Fonder
Alexander Albedj
Investment AB Spiltan
Luliem Capital
Petra Sas
Jinderman Invest
Malte Zaunders via bolag
Kristina Ingvar via bolag
Ulf Blom via bolag
David Sagna via bolag
Per-Ola Forsberg via bolag
Pontus Lindwall
KL Capital
Christian Rasmussen
Fredrik Johansson
Daniel Masters
Jean-Marie Mognetti via bolag
Russel Newton
Vicim
Michael Malkoch via bolag
Eva Malmstrom
John Andersson Moll
John Back
Johan Biehl
Feat Invest
Krister Mellwé
C World Wide
Quick Distribution Holding
Ernstrom Finans
Lazard Asset Management
Erik Svensson
Magnus Linderoth
Kjell Beijers 80-arsstiftelse
Arastoupour & Persson Invest
Edvard Berglund via bolag
Sarsaparill
Tommy Ure
Lusam Invest
AB Lundgren
 Nilsson & Moll
Ej namngivna parter
Prospect Holding
Flemming Videriksen via bolag
BKK Holding
Peter Gustafsson
Capital Group
Naventi Fonder
Consensus Smabolag
H&M Fashion
Tommy Martensson
Oscar Molse
Anders Wiger
Balder
ICA Handlarnas Forbund
Kastellporten
Andra AP-fonden
Annette Thystrup
Sven Wennhall
Jakob Kesje via bolag
Foretagsfinansiering Fyrstad AB
Ulf Wiinberg
Jes Trygved
Lindeblad Venture
Quiq Distribution Holding
Övriga ospecificerade
Andreas Johansson
JJV Invest
Tobias Schon
Alexander Ivarsson
Kommadoran
T-bolaget med dess pensionsstiftelse
Holmenbacken
Stromberg Consulting
Magnus Nyman
Santhe Dahl Invest
Erik Dahl
Creator Venture
Hakan Englund via bolag
La Familia Svensson
Anders Liljeblad via bolag
Skandia (Fonder och Forsakring)
Capagro SAS
Mosiki Svenska
Henrik Hedlund
Norsk Elektro Optikk
Magnus Kenneby
Par Josefsson
Henrik Nilsson
Cormac Invest
Linus Lindsrom
Myrevarv Invest
Daniel Sandberg
Liftraser
Krasilnikoff Holding
Mans Flodberg
Niclas Danaliv
Cliens Smabolag
Syringa Capital
Tellus Fonder
Peter Gonczi med narstaende
Markus Neuding
Sebastian Hodel
Lancelot
Capital Resesarch och Management Company
Peter Wendel (via bolag)
Axator Energy
Jonas Sjoberg
Vertex Forvaltning
Cocolabel
OP Fund Management Company LTD managed funds
EAKR-Aloitusrahasto
KWH-koncernen
Nurmiranta Holdings
Mirallas Oy
City Capital Partners
TAG Holding
Jimmie Landermann
Birka Stock
Mats Pettersson
Malin Malmsjo
Martin Linde (via bolag)
Fredrik Haglund
Midroc
STN Invest
Christian Mansson
Keel Capital
Sp-Fund Management Company
Mandatum Life Insurance Company
Capital Research and Management Company
Wasatch Global Investors
DNB Asset Management
Christian Berger
Martin Linde
Felix Granander
Fredrik Berglund
Richard Tooby
John Moll
Edvard Hall
Chalmers Ventures
Pontus Johansson med narstaende
Bertil Lindkvist
Dragfast AB
ITG Ingenieur- Tief und Gleisbau
Svedala
Goran Mansson
Thomas Warthoe
Leif GW Persson
Esk Invest
Derek Simmross
Volker Wiederrich
Ospecifierat
Adrigo Asset Management
Ivar Kjellberg AB
Johan Thorell
Lovén & Helgesson Invest
Folá Private Partners
Varsity Capital Group
Christian Swane Mourier
Jesper Mourier
Sye Wai Chan
Christopher Kjaer
Claus Zibrandtsen
Celox
Johnny Berlic
Alexander Tasevski
Naseer Ahmed
Fore C Investment
Gemgard
Love Carlsson
Östen Carlsson
Bertil Rydevik
Adam Lewis
Lars-Erik Bratt
Henrik Sporje
Cerbios-Pharma
Aurena Laboratories
Ola Flink
Ted Tigerschiold
Stockholms Bergteknik
Daniel Karlsson
Handelshuset P&E
Peter Thormalm
Maria Karlsson
Ragnar Åhgren
Bring Express
Vivianne Holm
Dag Rolander
Prometheus Pension
FV Group
Bjorn Wullt
Fredrik Herslow
Fidelity
Jonas Lagerqvist
Simplicity
Lancelot Asset Management
Alto Invest
Karolinska Development
Patrik Dahlén
Grethe Nørskov Rasmussen
Arne Ferstad
Rasunda Invest
Vindd AS
AP4
Magnus Mandersson
Ulf Bonnevier
Aktia Fondbolag
Familjen Hamberg
Familjen Kjell
TJ Junior AB
Carl-Henric Svanberg
Hazelpond Capital
Nicholas James Bird
Fundamental Fonds
Seier Capital Denmark
Sundt
Lars Windfeldt
Jorgen Lantto
Saugatuck Invest
BLL Invest
Charles Tooby
Jonas Palsson
C WorldWide
Öresund
Catella
Byggmastare Anders J Ahlstrom
Alfred Berg
Back in Black Capital
Kent Janér (via bolag)
Erik Penser Bank (for kunders rakning)
Acelera Forvaltning
Mikael Soderstrom (via bolag)
Jesper Åkerlind
Agneta Berg
Johan Larsson
UTN Holding
Falvir
BaulosCapital Belgium
Peter Strand
Alexander Shoeneck
William Gunnarsson
SEB-stiftelsen
BigState International
Martin Zetterstrom
Gunnar Nilsson Stiftelse
Peter Niman
Klas arvidson (via bolag)
Risk Management Consulting
Fredrik Lundqvist
Boai NKY Medical Holdings
Fang Huasheng
M2 Capital Management
Gryningskust Holding
ADB Invest
Roland Peterson
Jesper Martell
Swace Digital
Patrick Bergstrom
Name Navigation
Mattias Forslin
Massimiliano Franzé
CannTrust
Kristian Kierkegaard
Goran Conradson (privat och via bolag)
Ola Camber
Fredrik Sjovall
Lennart Bergstrom
Sectoral Assett Management
Kurma Biofond
Lennart Larsson
Corporatum OY
Lars Edvardson AB
CC Tornblom
Lars Amnell
Christian Mellentin
Claus Hansen
Jan Holm
Jarl Wikberg
Fyrstad Foretagsfin.
Mikael Konnerup
Acasma
Johan Rask
Jorgen Hentschel
Goran Nordlund
Stefan Nilsson
Masoud Khayyami
Lars Wingefors
OLCON Engineering
Mathias Karlsson
Gladiator
Industrifonden
Xiaoyun Li
Yibing Fang
Jinxing Xue
Hongbing Li
Yanzhao Dong
Niels Peter Louis-Hansen
A & C Følsgaard Invest
Kim Ginnerup
Lars Krogsgaard
Öhman Bank
LK Finans
Lansdowne Partners
Miton Asset Management
Jens Bager
Leif Nørgaard
Klaus Holse
Søren Jørgensen
AP3
Lazard
Unionen
Zonda Partners
Chirp AB
Akilakonsulting
Robert Ekstrom
Daniel Volle
Live It
Stefan Burstrom
Bure Equity
J.Carlstrom
Nordic Cross
Penser-kunder
ATP
Johan Nordstrom
Carl-Fredrik Meijer
Sirius
G.Bergman
Niclas Lowgren
C.Mansson
F.Gramnaes
P.Lochen
G.Nordin
GoMobile
P.Nilsson
C.Auer
Effnetplattformen
A.Rodrigues
Harald Moller
Jakob Hwang
Roger Werin
Allba Holding
Johan Itzel
Peder Mansson
Olle Qvarnstrom
Agne Nystrom
Carl Elgh
Carl Östholm
Quiq Distribution
Stian Rustad
Fredrik Skarke
Amicogen
Didner Gerge
Christian Thiel
Per Augustsson
Anders Fogelberg
Ulf Ivarsson
Georg Vesslund
Johan Halldoff
Holmsund Invest
Swedish Growth Fund
SAMBUS
Sedermera-kunder
BGA Invest
Winplantan
Tomas Rex
H.Ljung
Knutsson Holding
Novobis
RAM
Chalex
H.Nygren
Giraff Data
Montsinary
Daniel Güner
Ivium Partners
Navare Invest
Serendipity
Vandel Medical
Fireseas
Lendau Capital
Johan Bennarsten
Johan Andersson
Aggregate Media Fund
Need Invest
Henrik Melinder
G&W FK
Martin Gren
Vatterleden
GLG Partners
Bruno Walther
Charles Walther
Gullspang
Blue
Per Bernhult
HBM Healthcare
AP2
John Wattin
Danica
Holta Life Sciences
Erik Selin
Vasastaden
Healthinvest
Östersjostifelsten
Stubben
Amtran
Kent Ternrud
G&W-kunder
Burrito Venture
Citarella Capital
P.Blomdahl
Diamyd Medical
Graffe
Zenith
Rosetta
PRP
Leif Edlund
Rocet
Alto
Brohuvudet
Nyenburgh Holding
Healthcap
Semelin
Jacob Ehrnrooth
Augment Partners
Scania Growth Capital
LF Blekinge
Roger Johansson
Ole Oftedal
Dividend
Ferd AS
Sverker Martin-Lof
FAM
Brummer
Tellacq
Tomas Ward
Janek Skoglund
R.Larsson
"""Befintliga agare"""
Gert Nordin
Öhman
Spectric Intelligence
Capensor
Carnegie
Pareto
M.Ahlin
Fredrik Lundgren
Pegroco
Industrial Development
Henrik Wiman
Athanese Industrial
Rothesay
Malmegards Fastighet
Grandholm Fastighet
Carve Capital
A.Rylander
Lannebo
Leif Peters
Claus Oleses
Ulf Simonsen
Torgeir Vaage
Vilhelm Sundstrom
Lage Jonason
A.Lagerberg
Baretten Konsult
1CT Equity
Artha
