Bolag;Datum;Lista;Radgivare;Flaggor(st);Erbjudande(Mkr);Utveckling(%);Borsvarde(Mkr);Teckningskurs(kr);Ande nyemission(%);Teckningsatagare;Garantiatagare;Andel sakrad(%);VD;Ordforande;Nyckelpersons agande;Storagare;Saljande storägare;Storleksklass;Uttnyttjad overtilldelning;Utv forsta dagen;Hemsida;Ovriga radgivare
Byggfakta Group;2021-10-15;Nasdaq Stockholm;Carnegie,Jefferies ;5;5020;                          -37        ;16400;75;65;AMF Fonder,Forsta AP-fonden,Grandeur Peak Global Advisors,Lazard Asset Management Securities,Didner & Gerge Fonder;;62;Stefan Lindqvist;Henrik Lif;2,86;Stack Capital EU Luxembourg,SSCP Byggest,Bock Capital EU Luxembourg,Forsta AP-fonden,AMF Fonder;;Miljardbolag;1.68;-5,08;byggfaktagroup.com/sv;Barclays,Danske Bank,Vinge,Goodwin Procter,White & Case 
Haypp Group;2021-10-13;First North;SEB,Carnegie ;3;522;                          -46        ;1921;66;29;Erik Selin via Forvaltnings AB Fargax;;12.,7;Gavin O´Dowd;Ingrid Jonasson Blank;31,52;Gr8 Ventures, vari ledamot Linus Liljegren ar delagare,Patrik Rees via Eastcoast Capital,Northerner Holding,e-Business Partner Norden,Gavid O´Dowd;									Gr8 Ventures, vari ledamot Linus Liljegren ar delagare,					Patrik Rees via Eastcoast Capital,					Gavid O´Dowd,					Northerner Holding,					e-Business Partner Norden			;Miljardbolag;3.96;-;hayppgroup.com;Vinge 
Nordisk Bergteknik;2021-10-12;Nasdaq Stockholm;Carnegie ;2;526;                          44        ;1305;26;95;Carnegie Fonder,RoosGruppen,STC Interfinans,Alf Svedulf,Gerald Engstrom;;45.,6;Andreas Christoffersson;Mats O. Paulsson;12,61;Pegroco Invest (inkl. Bergteknik Norr Holding),Jovian Invest (ags av Nordisk Bergtekniks VD och CFO),N P Forvaltnings,Carnegie Fonder,RoosGruppen;									Pegroco Invest			;Miljardbolag;34.94;-;nordiskbergteknik.se;Swedbank,Nordea,Setterwalls 
Flat Capital;2021-10-20;First North;Augment Partners ;1;87;                          135        ;269;10;100;Hanna Wachtmeister,Amaury de Poret,Charlotte Runius,Bjorn Petersson;									Sebastian Siemiatkowski			;100;Hanna Wachtmeister;Sebastian Siemiatkowski;68,05;Sebastian Siemiatkowski privat och via Double Sunday IV,Nina Siemiatkowski,Amaury de Poret,Stiftelsen WRLD Foundation (gava fran Sebastian Siemiatkowski i samband med IPOn),Hanna Wachtmeister;;Smabolag;100;100,8;www.flatcapital.com;Vinge,Nordic Issuing 
Truecaller;2021-10-08;Nasdaq Stockholm;Carnegie,Goldman Sachs,J.P Morgan,Citigroup ;2;2709;                          36        ;18722;50;37;Forsta AP-fonden,Handelsbanken Fonder,Malabar Investments,WF Asian Reconnaissance Fund,Coeli Asset Management;;83.,6;Alan Mamedi;Wiliam Bingham Gordon;15,47;Sequoia Capital India,KPCB Holdings,Nami Zarringhalam,Alan Mamedi,Niklas Zennstrom via Atomico III;									EC-bolagen (bolag som ager aktier for incitamentsprogram),					Alan Mamedi,					Nami Zarringhalam,					Sequoia Capital India,					Niklas Zennstrom via Atomico III			;Miljardbolag;5.91;4;corporate.truecaller.com/about-us/this-is-truecaller;SEB,Numis,Baker McKenzie,Linklaters 
Medhelp;2021-10-26;First North;Eminova ;4;50;                          -46        ;280;9,2;100;Invium Partners,John Fallstrom,Polynom Investment,Tass,Ej namngivna;;80;Tobias Ekros;Tomas Nygren;8,79;Mark Hausschildt via bolag,Tobias Ekros,Invium Partners,John Fallstrom,Polynom Investment;;Smabolag;0;-13,04;www.medhelp.se;Schjødt 
Storskogen;2021-10-06;Nasdaq Stockholm;Carnegie,Goldman Sachs,J.P Morgan ;4;13399;                          -16        ;62391;38,5;45;Swedbank Robur,AMF,Capital World Investors,Lannebo Fonder,Nordea Investment Management;;82.,5;Daniel Kaplan;Elisabeth Thand Ringqvist;15,75;AMF Pension,Swedbank Robur Fonder,Daniel Kaplan, inkl aktier som ags av Firm Factory,Alexander Murad Bjargard,Ronnie Bergstrom, inkl aktier som ags av Ängsmon;									Storskogen SellCo (saljer aktier for andra an de tre grundarna),					Karl-Johan Persson, via Philian Invest,					Christer Hansson via Scalata Invest,					Ronnie Bergstrom, inkl aktier som ags av Ängsmon,					Peter Ahlgren, inkl aktier som ags av Ribbylund Management			;Miljardbolag;67.73;31,17;www.storskogen.com;BNP Paribas,DNB,Danske Bank,Nordea,SEB,Swedbank,Milbank,White & Case 
Occlutech (avbruten IPO);2021-09-29;First North;Carnegie ;3;964;                          0        ;3874;50;100;Fjarde AP-Fonden,SEB Investment Management;;41.,5;Sabine Bois;Marianne Dicander Alexandersson;38,26;Tor Peters,Fjarde AP-Fonden,Mert Aygen,Fumedica Intertrade,RoosGruppen;;Miljardbolag;0;-;occlutech.com;Baker McKenzie,Bryan Garnier & Co,Roschier,Avanza Bank 
Emilshus Pref;2021-10-01;First North;Swedbank ;2;200;                          15        ;355;27,6;100;Bygg-Gota Goteborg,PriorNilsson Fonder,Danske Invest;;45;Jakob Fyrberg;Johan Ericsson;2,75;Sagax,NP3 Fastigheter,Bygg-Gota Goteborg,PriorNilsson Fonder,Danske Invest;;Miljardbolag;100;8,7;emilshus.com;Gernandt & Danielsson,Avanza Bank 
Albert;2021-10-01;First North;SEB ;1;230;                          -40        ;827;49;100;Consensus Asset Management,Strand Kapitalforvaltning,RoosGruppen,Abanico Invest,Muirfield Invest;;69.,6;Arta Mandegari;Jacob Møller;10,82;Schibsted,Consensus Asset Management,Abanico Invest,Muirfield Invest,Strand Kapitalforvaltning;;Smabolag;98.49;4,08;hejalbert.se;Vinge,Hammarskiold,Avanza Bank 
Brain+;2021-10-07;First North Denmark;Gemstone Capital ;4;21;                          -38        ;92;5,69;100;Polynom,Global Roadrunner,CD Holding,Lars Terney,Jimmie Landerman;;50.,1;Kim Baden-Kristensen;Lars Terney;42,31;Kim Baden-Kristensen, privat och via bolag,Ulrik Ditlev Seeman Eriksen via Ocean Capital,Lars Terney,Polynom,Elizabeth Wolff;;Mikrobolag;0;-8,61;www.brain-plus.com;Bach law,Law & More,Nordnet Bank 
Cary Group;2021-09-23;Nasdaq Stockholm;Carnegie,Danske Bank,Jefferies ;1;4587;                          5        ;9229;70;27;AMF Pension,Capital World Investors,ODIN Fonder,SEB Investment Management,Swedbank Robur;;68.,7;Anders Jensen;Magnus Lindquist;4,93;Nordic Capital via Cidron Legion,Rydgruppen Sverige,Anders Jensen,Magnus Lindquist,Joakim Rasiwala;									Nordic Capital via Cidron Legion,					Rydgruppen Sverige,					Anders Jensen (VD),					Magnus Lindquist (ordforande),					Joakim Rasiwala (CFO)			;Miljardbolag;100;22,86;carygroup.com;ABG Sundal Collier,SEB,UBS,White & Case,Cederquist,Milbank 
CTEK;2021-09-24;Nasdaq Stockholm;Carnegie ;1;2113;                          71        ;3401;69;14;Latour;;49.,9;Jon Lind;Hans Straberg;3,94;Latour,Altor,Faustina,Hans Straberg,Jon Lind;									Altor,					Faustina,					Hans Straberg,					Marcus Lorendal,					Cecilia Routledge			;Miljardbolag;100;98,87;ctekgroup.com;Swedbank,Vinge,Cleary Gottlieb Steen & Hamilton 
FSport;2021-09-30;First North;Corpura ;6;20;                          -73        ;87;4,5;100;Alexander Eskilsson,Özkan Ego via Barego Holding,Henrik Stenholm,Sonny Johansson,CRCH Investmets;;70.,4;Staffan Lindgren;Naim Messo ;32,7;Özkan Ego via Multibrands Digital CY och Barego,Alexander Eskilsson,Jimmy Jonsson,Filip Martell via Cepophan,Bevaclean;;Mikrobolag;0;-27,82;www.fsportgroup.se;Delphi,Nordic Issuing 
Arlandastad;2021-09-15;First North;Avanza Bank ;1;400;                          -17        ;4244;67,5;100;SBB i Norden,Prior & Nilsson Fonder;;84.,6;Dieter Sand;Peter Wagstrom;44,95;Per Taube via Gelba Management,SBB i Norden AB,Bjorn Savén via Styviken Invest,Prior & Nilsson Fonder;;Miljardbolag;42.25;4,3;arlandastadgroup.se;Baker McKenzie 
Kjell Group;2021-09-16;First North;Nordea,Carnegie ;2;916;                          -6        ;1713;55;44;Strand Kapitalforvaltning,Fosielund Holding,AMF Fonder,Carnegie Fonder,RoosGruppen;;57.,1;Andreas Rylander;Ingrid Jonasson Blank;3,32;FSN Capital IV,Strand Kapitalforvaltning,Fosielund Holding,AMF Fonder,CDM Holding;									FSN Capital GP IV,					Kjell Dahnelius,					Fredrik Dahnelius,					Marcus Dahnelius,					Mikael Sundin			;Miljardbolag;100;27,64;www.kjellgroup.com;White & Case,Baker McKenzie 
Sound Dimension;2021-10-06;Spotlight;Gemstone Capital ;4;15;                          -54        ;38;7,5;100;Goran Ofsén,Jimmie Landerman,Gerhard Dal,CD Holding,Peter Nilsson;;50;Thomas Bergdahl;Ulf Lindstén;13,73;Fredrik Gunnarsson via Heedberget,Gullspang Invest,Goran Ofsén,Gabrielsson Invest,Victor Isaksen via Doriva;;Mikrobolag;0;-12,27;sounddimension.se;Amudova,Hagberg & Aneborn FK 
Aprendere Skolor;2021-09-28;First North;Eminova ;3;20;                          -40        ;100;16;100;Paul-Eric Lindquist,Anne Soderstrom,Maria Jannering,Stefan Andersson,Hans Ahlgren;									Lars Tunberg,					Carl Tunberg			;21.,5;Lars Tunberg;Paul-Eric Lindquist;80,14;Lars Tunberg,Carl Tunberg;;Mikrobolag;0;-21,5;aprendereskolor.se;Torngren Magnell 
Genetic Analysis;2021-10-01;Spotlight;Sedermera Corporate Finance ;2;59;                          -17        ;190;7,8;100;Negma Group,Bio Rad Luxembourg,Ej namngivna;;80.,4;Ronny Hermansen;Kathryn M. Baker;0,66;Bio-Rad,Nordnet Bank (for kunders rakning),SEB (for kunders rakning),Negma Group,Norsk Innovationskapital;;Smabolag;0;67,71;www.genetic-analysis.com;Shark Communication,Wiersholm,DNB 
Soder Sportfiske;2021-09-09;First North;Avanza Bank ;0;77;                          7        ;352;47;0;Cervantes Capital,Greenspecialisten,Cliens Kapitalforvaltning;;40.,4;Viktor Gullbrand;Josephine Salenstedt;77,86;Rite Internet Ventures Holding,Henrik Sandahl via Esox Lucius Invest,Nicklas Jonsson via CapEsox,Petter Hedborg via Growthcap,Grenspecialisten;									Nicklas Jonsson via CapEsox,					Henrik Sandahl via Esox Lucius Invest			;Smabolag;100;50,66;www.sodersportfiske.se;Torngren Magnell 
Kiliaro;2021-09-17;First North;Sedermera Corporate Finance ;4;21;                          -54        ;58;6,6;100;First Venture,Johan Beijar via bolag,Henrik Tisell,Elie Komo privat + via bolag;;50.,7;Elie Komo;Peter Werme;35,68;First Venture,Arian Bahrami (privat och via bolag),Amir Shariat,Andreas Andersen,Jonas Samuelsson;;Mikrobolag;0;-23,26;kiliaro.com/sv;Markets & Corporate Law,Nordic Issuing 
CS Medica;2021-09-14;Spotlight;Sedermera Corporate Finance ;1;31;                          13        ;115;7,7;100;Finn-Ove Henriksen and Nina Henriksen,Ylber Rexhep,Tonoy Sayeed,Kent Eklund,Taulant Bara;;60;Lone Henriksen;Jørgen Flemming Ladefoged;73,38;Lone Henriksen,Gitte Henriksen,Finn-Ove Henriksen and Nina Henriksen,Ylber Rexhep,Tonoy Sayeed;;Mikrobolag;0;17,25;www.cs-medica.com;Markets & Corporate Law,Nordic Issuing 
Ectin Research;2021-08-18;Spotlight;Sedermera Corporate Finance ;5;55;                          -28        ;85;5,9;100;Rasunda Forvaltning,Gerhard Dal,Formue Nord,Polynom Investment,Kent Eklund;;60.,6;Anna Sjoblom-Hallén;Fredrik Sjovall;14,99;Christer Edlund via Uronauten,Ivarsson Medical Research,Peter Falk,Rasunda Forvaltning,Gerhard Dal;;Mikrobolag;0;-18,81;www.ectinresearch.com;Markets & Corporate Law,Nordic Issuing 
