Bolag;Datum;Lista;Radgivare;Flaggor(st);Erbjudande(Mkr);Utveckling(%);Borsvarde(Mkr);Teckningskurs(kr);Ande nyemission(%);Teckningsatagare;Garantiatagare;Andel sakrad(%);VD;Ordforande;Nyckelpersons agande;Storagare;Saljande storägare;Storleksklass;Uttnyttjad overtilldelning;Utv forsta dagen;Hemsida;Ovriga radgivare
Pierce Group;2021-03-26;Nasdaq Stockholm;Carnegie ;0;1046;                          -41        ;2540;64;33;Dan Sten Olsson och Erik Nielsen,Handelsbanken Fonder,Skandia,Cliens Fonder,FE Fonder;;44;Henrik Zadig;Ketil Eriksen;14,51;Procuritas,Dimela,Fairy Glen Holdings,Dan Sten Olsson och Erik Nielsen,Handelsbanken Fonder;									Procuritas,					Dimela,					Fairy Glen Holdings,					Redlake Holdings,					Magnus Dimert			;Miljardbolag;100;12,5;www.piercegroup.com;Nordea,Gernandt & Danielsson,White & Case 
Trainimal;2021-04-16;NGM SME;Augment Partners ;5;16;                          -66        ;77;33;100;Hakan Ronnberg,MW Asset Management,Olga Ronnberg,Thomas Lindgren via bolag,Heronstone Holding;;54.,8;Mikael Pérez;Hakan Ronnberg;67,61;Hakan och Olga Ronnberg,Fredrik Hansson,Thomas Lindgren via bolag,Tobias Idestrom,MW Asset Management;;Mikrobolag;0;-19,39;trainimal.com/sv;Lindahl 
Nowonomics;2021-04-07;NGM SME;Mangold FK ;4;14;                          176        ;95;12;100;Mangold FK,Egonomics,Capgro,Mats Invest,Capitator;;62.,5;Rutger Selin;Sven Estwall;2,33;Egonomics,Mangold FK,Mats Invest,Capitator,Skalso Intressenter;;Mikrobolag;100;36,58;www.nowo.se;QAP Legal Advisors 
LMK Group;2021-03-29;First North;Bryan Garnier & Co,Pareto ;1;500;                          -64        ;1008;79,5;50;Skandia,Invus,Nordea,Handelsbanken Fonder,Argenta Fund;;51.,8;Walker Kinman;Mathias Hedlund;4,47;Herkules Capital,PopSpinach AB (grundare Niklas Aronsson),Rocky Beans (grundare Carolina Geback),Acton Capital,Creandum;									Herkules Capital,					PopSpincach AB (grundare Niklas Aronsson),					Rocky Beans (grundare Carolina Geback),					Acton GmbH &Co Heureka KG,					Öviga/andra befintliga agare			;Miljardbolag;100;3,79;lmkgroup.se;Baker McKenzie,Roschier 
Plexian;2021-04-14;First North;Eminova ;5;38;                          -9        ;71;5;100;Dividend Sweden,Jens Mioen,Tass,Per-Ola Rosenqvist via bolag,Sami Sulieman;;76.,3;Staffan Mattsson;Per-Ola Rosenqvist;6,2;Sami Sulieman via bolag,Dividend Sweden,Per-Ola Rosenqvist,Gunilla Hagel Carlsson,Bo Mikael Carlsson;;Mikrobolag;100;-15,28;www.plexian.se;Eversheds Sutherland Advokatbyra 
Embellence Group;2021-03-24;First North;Handelsbanken ;1;315;                          -19        ;899;42;0;Strand Kapitalforvaltning,PriorNilsson Fonder,FE Smabolag Sverige,Gerald Engstrom,Provobis;;66.,8;Olle Svensk;Morten Falkenberg;1,67;WA Wallvision,Strand Kapitalforvaltning,PriorNilsson Fonder,FE Smabolag Sverige,Gerald Engstrom;									WA Wallvision			;Miljardbolag;100;3,57;www.embellencegroup.se;Avanza Bank,Vinge,Baker McKenzie 
ACQ Bure;2021-03-25;Nasdaq Stockholm;SEB ;1;3480;                          0        ;3500;100;100;Bure,AMF Pensionsforsakring,Fjarde AP-Fonden,AMF Fonder,SEB Fonder;;59.,8;Henrik Blomquist;Patrik Tigerschiold;Uppgift saknas;Bure,AMF Pensionsforsakring,Fjarde AP-Fonden,AMF Fonder,SEB Fonder;;Miljardbolag;0;2,12;www.acq.se;Avanza Bank,Cederquist,Nord Advokater 
RugVista Group;2021-03-18;First North;Carnegie,ABG Sundal Collier ;0;1453;                          -18        ;2441;117,5;0;TIN Fonder,RoosGruppen,Knutsson Holdings,OstVast Capital Management,Alcur Fonder;;56.,4;Michael Lindskog;Erik Lindgren;8,42;Litorina IV,Indexon,Transistormedia,Vision IT Commerce Scandinavia,Jordmollan;									Litorina IV,					Indexon,					Transistormedia,					Vision IT Commerce Scandinavia,					Jordmollan			;Miljardbolag;37.22;6,38;www.rugvistagroup.com;Mannheimer Swartling 
Dlaboratory;2021-04-21;First North;G&W FK ;8;50;                          -59        ;133;7,95;100;Arne Grundstrom,Mastan,Polynom Investment,Pegroco Invest,Alexander Albedj;;71;Erik Severin;Tove Janzon;10,6;Almi Invest,Magnus Akke,John Fallstrom via bolag,TAMT,Fredrik Akke;;Mikrobolag;21;-30,98;dlaboratory.com;Fredersen Advokat 
Idun Industrier;2021-03-25;First North;Avanza Bank ;0;199;                          187        ;895;86;100;Alcur Fonder,Cliens Fonder,Handelsbanken Fonder,Investment AB Spiltan,Luliem Capital;;82.,1;Karl-Emil Engstrom;Adam Samuelsson;52,22;Adam Samuelsson via bolag,Aristo Capital,Ulf Rosberg via bolag,David Mindus via bolag,Omar Alghanim;;Miljardbolag;100;112,21;www.idun.com;Kanter 
Euroafrica Digital Ventures;2021-04-06;First North;Eminova ;4;20;                          -20        ;65;6,4;100;Tass,John Fallstrom,Petra Sas,Jinderman Invest,Alexander Schoeneck;;71;Phillip Ebbersten;Peter Hjorth;42,15;Peter Persson via bolag,Emelie Smidt via bolag,Frontier Digital Venture PTE,Fredrik Holmstrom via bolag,John Fallstrom;;Mikrobolag;0;-23,98;www.euroafricadigitalventures.com;Eversheds Sutherland Advokatbyra 
Pharmiva;2021-03-31;First North;Partner FK ;2;35;                          -41        ;114;16;100;Malte Zaunders via bolag,Kristina Ingvar via bolag,Ulf Blom via bolag,David Sagna via bolag,Per-Ola Forsberg via bolag;;51.,5;Christina Östberg Lloyd;Malte Zaunders;12,08;GÅL Pharma Consulting,David Sagna via bolag,Malte Zaunders via bolag,Prolajm;;Mikrobolag;0;-26,16;pharmiva.com;
Fantasma Games;2021-03-23;First North;Mangold FK ;2;21;                          2        ;83;30;100;Mangold FK,Pontus Lindwall,KL Capital,Christian Rasmussen,Fredrik Johansson;;68.,3;Bjorn Kjellsson;Bjorn W Ericsson;36,86;Fredrik Johansson,Karl Lindstedt,Christina Andersson,Martin Fagerlund via bolag,Mangold FK;;Mikrobolag;0;51,34;www.fantasmagames.com;QAP Legal Advisors 
Coinshares;2021-03-11;First North;Mangold FK ;1;151;                          60        ;2988;44,9;100;Daniel Masters,Jean-Marie Mognetti via bolag,Russel Newton,Vicim,Mangold FK;;83.,1;Jean-Marie Mognetti;Daniel Masters;45,46;Daniel Masters,Jean-Marie Mognetti,Russel Newton,ALCC Holdings,AH;;Miljardbolag;0;143,03;coinshares.com;Baker McKenzie 
Polymer Factory;2021-04-07;Spotlight;Sedermera Corporate Finance ;1;13;                          1        ;52;7,6;100;Michael Malkoch via bolag,Eva Malmstrom,Mikael Blihagen,Peter Nilsson,John Andersson Moll;;50;Elin Mignérus (VD fran april 2021);Eva Malmstrom;55,63;Michael Malkoch,Anders Hult,Mats Wallnér,Eva Malmstrom,Andreas Nystrom;;Mikrobolag;0;10;www.polymerfactory.com;Markets & Corporate Law,Nordic Issuing 
Ekobot;2021-03-15;First North;Augment Partners ;2;20;                          -46        ;52;22;100;John Back,Formue Nord,Johan Biehl,Feat Invest,Krister Mellwé;;56.,2;Ulf Nordbeck;Thomas Lindgren;21,99;Ulf Nordbeck,Unibap,Tord Cederlund,Linus Larson Holding i Uppsala,Carl Johan Otterheim;;Mikrobolag;0;-23,7;www.ekobot.farm;Wistrand 
Cint;2021-02-19;Nasdaq Stockholm;Carnegie,Danske Bank ;0;4824;                          35        ;9211;67;17;Swedbank Robur Ny Teknik,Handelsbanken Fonder,C World Wide,Danica Pension,TIN Fonder;;45.,6;Tom Buehlmann;Niklas Savander;3,31;Nordic Capital via bolag,Swedbank Robur Ny Teknik,Handelsbanken Fonder,C WorldWide,TIN Fonder;									Nordic Capital via bolag			;Miljardbolag;100;49,25;www.cint.com;ABG Sundal Collier,Jefferies,Nordea,Gernandt & Danielsson,Shearman & Sterling,White & Case 
Ytrade Group;2021-03-09;First North;Eminova ;2;35;                          -41        ;84;4,5;100;Quick Distribution Holding,Alexander Schoeneck,Jinderman & Partners,Thoren Tillvaxt,Polynom Investment;;74.,6;David Knape;Magnus Agervald;20,47;Provider Investment,Palmstierna Invest,Oscaria Capital,XII Holding,Mountain Grove;;Mikrobolag;100;2,67;www.yaytrade.com;Nordnet Bank,Ramsell 
Fractal Gaming Group;2021-02-11;First North;Carnegie ;0;478;                          -39        ;1194;41;0;TIN Fonder,Ernstrom Finans,Handelsbanken Fonder,Enter Smabolagsfond,LMK Venture Partners;;56.,5;Hannes Wallin;Magnus Yngen;39,44;Hannes Wallin via bolag,Litorina IV,TIN Fonder,Jens Harnisch via bolag,Ernstrom Finans;									Litorina IV,					Daniel Johnsson via bolag,					Hannes Wallin via bolag,					Jens Harnisch via bolag			;Miljardbolag;100;48,73;group.fractal-design.com;ABG Sundal Collier,Avanza Bank,Vinge,Cirio 
Nimbus Group;2021-02-09;First North;Carnegie ;0;445;                          21        ;1008;52;45;RoosGruppen,ODIN Fonder,Lazard Asset Management,Handelsbanken Fonder,LMK Venture Partners;;65.,4;Jan-Erik Lindstrom;Mats Engblom;5,92;R12 Kapital,Fort Cambridge Investments,Jan-Erik Lindstrom,Joacim Gustavsson,Mats Jacobsson;									R12 Kapital,					Fort Cambridge Investments,					Jan-Erik Lindstrom,					Joacim Gustavsson,					Mats Jacobsson			;Miljardbolag;100;31,54;nimbusgroup.se/sv;Nordea,Wigge & Partners 
Lipigon Pharmaceuticals;2021-03-01;First North;G&W FK ;3;50;                          -45        ;103;11,2;100;John Fallstrom,Pegroco Invest,Arne Grundstrom,Erik Svensson,Per Vasilis;;70;Stefan K Nilsson;Urban Paulsson;16,63;Fortknox Forvaring,Stefan K Nilsson via bolag,John Fallstrom,Partnerinvest Övre Norrland,Guilla Olivercrona;;Mikrobolag;100;-4,38;www.lipigon.se;Schjødt 
Abera Bioscience;2021-02-24;Spotlight;Sedermera Corporate Finance ;0;24;                          78        ;72;6,9;100;Magnus Linderoth,Kjell Beijers 80-arsstiftelse,Peter Nilsson,Gerhard Dal,Jens Mioen;;75.,2;Maria Alriksson;Anders Ericsson;14,85;Anders Ericsson,Kjell Beijers 80-arsstiftelse,Jan-Wilhelm de Gier,Joen Luirink,Torna Kapital;;Mikrobolag;0;60,14;aberabio.com;Nordic Issuing,Markets & Corporate Law 
Ellwee;2021-01-19;First North;Eminova ;3;45;                          -66        ;108;2,5;100;Alexander Albedj,Arastoupour & Persson Invest,Gerhard Dal,Polynom Investment,Edvard Berglund via bolag;;78.,4;Hakan Kjellqvist;Hans Linnarson;5,67;Arastoupour & Persson Invest,Edvard Berglund,Alexander Albedj,Anders Eriksson,Alexander Schoeneck;;Mikrobolag;0;37,4;ellwee.com;Eversheds Sutherland Advokatbyra 
Streamify;2021-01-25;Spotlight;Sedermera Corporate Finance ;1;14;                          -12        ;34;6,1;100;Polynom Investment,Mikael Blihagen,Peter Nilsson,Sarsaparill,Stefan Lundgren;;50.,4;Johan Klitkou;Lars Ekstrom;19,82;Oscarson Invest,Johan Klitkou via bolag,Affarspartner Ove Nesterud,Christoffer Lundstedt,Polynom Invest;;Mikrobolag;0;122,95;www.streamify.io;Markets & Corporate Law 
We are Spindye;2020-12-22;NGM SME;Mangold FK ;2;24;                          -46        ;74;10,5;100;Mangold FK,Tommy Ure,Lusam Invest,Gerhard Dal,AB Lundgren, Nilsson & Moll;;70.,8;Andreas Andrén;Christian Rasmussen;30,95;Christian Rasmussen,Textile Innovation Fund,Rubio Impact Ventures,Main Ranch,Jonas Hofgren;;Mikrobolag;0;71,75;www.spindye.com;QAP Legal Advisors 
Imsys;2020-12-29;NGM SME;Goteborg Corp. ;7;18;                          -32        ;166;11;100;Dividend Sweden,Ej namngivna parter;;51.,1;Magnus Stuart;Anna Petre;18,54;Stefan Blixt,Wuxi Institute of Fudan University,Stefan Martensson,Roger Sundman,Anders Gradén;;Mikrobolag;100;-19;www.imsystech.com;
DecideAct;2020-12-16;First North Denmark;Gemstone Capital ;1;25;                          0        ;84;8,15;100;Prospect Holding,Flemming Videriksen via bolag,BKK Holding,Peter Gustafsson,Peter Nilsson;;35.,7;Flemming Videriksen;Peter Søndergaard;43,22;Katla Seed Invest,Blue Lagoon;;Mikrobolag;0;36,2;www.decideact.net/se;DLA Piper 
Fasadgruppen;2020-12-09;Nasdaq Stockholm;Carnegie ;2;998;                          147        ;2708;60;30;Capital Group,Swedbank Robur Fonder;;47.,6;Pal Warolin;Per Sjostrand;28,16;Connecting Capital Sweden,Capital Group,A.M. Karlsson i Kvicksund,Swedbank Robur Fonder,Sterner Stenhus Holding;									Connecting Capital Sweden,					Ledamoter, ledningspersoner och anstallda i Fasadgruppen,					A.M. Karlsson i Kvicksund,					Sterner Stenhus Holding			;Miljardbolag;100;27,5;fasadgruppen.se;Nordea,Gernandt & Danielsson,White & Case 
Thunderful Group;2020-12-07;First North;Carnegie,ABG Sundal Collier ;1;1306;                          -17        ;3427;50;57;Strand Kapitalforvaltning,Naventi Fonder,Knutsson Holdings,Provobis,Consensus Smabolag;;46;Brjann Sigurgeirsson;Mats Lonnqvist;51,33;Bergsala Holding,Lyngeled Holding,Brjann Sigurgeirsson via bolag,Strand Kapitalforvaltning,Naventi Fonder;									Bergsala Holding,					Lyngeled Holding,					Brjann Sigurgeirsson via bolag			;Miljardbolag;100;40;thunderfulgroup.com;Setterwalls,White & Case 
Nordnet;2020-11-25;Nasdaq Stockholm;Citigroup,Carnegie,J.P Morgan ;1;9024;                          56        ;24000;96;0;;;0;Lars-Åke Norling;Tom Dinkelspiel;5,42;Öhman AB,Nordic Capital,Premiefinans;									Nordic Capital,					Familjen Dinkelspiel,					Öhman AB			;Miljardbolag;100;9,38;www.nordnet.se/se;ABG Sundal Collier,Berenberg,DNB,SEB,Cederquist,Latham & Watkins 
Renewcell;2020-11-26;First North;Nordea ;2;800;                          79        ;2341;76;100;Capital Worlds Investors,AMF Fonder,Handelsbanken Fonder,Swedbank Robur,H&M Fashion;;55.,5;Patrik Lundstrom;Mia Hemmingson;30,99;Girincubator,Girindus Investments,H&M Fashion,Almi Invest GreenTech,Swedocean;;Miljardbolag;100;51,32;www.renewcell.com;Pareto,Avanza Bank 
Circhem;2020-12-09;First North;Eminova ;3;25;                          -4        ;105;8,2;100;John Fallstrom,Modelio Equity,Tommy Martensson,Oscar Molse,Anders Wiger;;74;Christina Hillforth;Mats Persson;7,74;Futur Pension,Almi Invest,Anders Wiger,Hakan Jensen,Johan Norell Bergendahl;;Mikrobolag;0;-19,51;circhem.com;Lindahl 
Fortinova;2020-11-19;First North;SEB ;0;728;                          26        ;2120;42;100;Balder,SEB Fonder,ICA Handlarnas Forbund,Kastellporten,Andra AP-fonden;;62.,8;Anders Johansson;Ole Salsten;13,03;ICA-Handlarnas Forbund,Balder,A2F Fastigheter,Kastellporten,SEB Fonder;;Miljardbolag;95.24;10,62;www.fortinova.se;Vinge,Hammarskiold,Avanza Bank 
Alltainer;2020-12-11;Spotlight;Foretagsfinansiering Fyrstad AB ;5;8;                          -42        ;51;8;100;Annette Thystrup,Sven Wennhall,Jakob Kesje via bolag,Goran Ofsén,Foretagsfinansiering Fyrstad AB;;42.,7;Jakob Kesje;Mikael Palm Andersson;80,2;Jakob Kesje via bolag,Tommy Tuong Nguyen via bolag,Per Johannesson via bolag,Phuong Trieu via bolag,Annette Thystrup;;Mikrobolag;20.74;-31,25;alltainer.com;Aktieinvest 
Cessatech;2020-12-16;Spotlight;Sedermera Corporate Finance ;0;22;                          68        ;48;9,4;100;Polynom Investment,Ulf Wiinberg,Mikael Blihagen,Peter Nilsson,Jes Trygved;;62.,2;Jes Trygved;Ulla Hald Buhl;57,22;Buhl Krone Holding,Jes Tryggved,Bettina Nygard Nielsen,Steen Winther Henneberg,Polynom Invest;;Mikrobolag;0;91,12;cessatech.com;Markets & Corporate Law,Nordnet Bank 
Stenhus Fastigheter;2020-11-24;First North;Catella ;2;600;                          108        ;1303;10;100;Balder,Lansforsakringar;;62.,5;Elias Georgiadis;Rickard Backlund;53,55;Elias och Thomas Georgiadis via bolag,Balder,Lansforsakringar;;Miljardbolag;0;1;www.stenhusfastigheter.se;Avanza Bank,Eminova,Glimstedt 
Luxbright;2020-11-19;First North;Skills Corp. ;3;30;                          -9        ;77;2,75;100;Lindeblad Venture,Quiq Distribution Holding,Övriga ospecificerade;;90.,9;Mats Alm;Anders Brannstrom;7,68;Lindeblad Venture,Quiq Distribution,Almi Invest,GU Ventures,Qui-Hong Hu;;Mikrobolag;100;21,64;www.luxbright.com;Baker McKenzie,Hagberg & Aneborn FK 
Offentliga Hus;2020-10-23;First North;Nordea,Swedbank ;3;1651;                          6        ;3700;14,75;50;;;0;Fredrik Brodin;Bjorn Rosengren;Uppgift saknas;Nordact;;Miljardbolag;100;-9,15;offentligahus.se;Vinge,White & Case,Avanza Bank 
Nordic Paper;2020-10-22;Nasdaq Mid;ABG Sundal Collier,Nordea,Citic,CLSA,DNB ;2;1570;                          -25        ;3078;46;0;;;0;Anita Sjolander;Per Bjurbom;Uppgift saknas;Shanying International Holding;									Shanying International Holding			;Miljardbolag;77.27;-8,7;www.nordic-paper.se;Vinge,Shearman & Sterling,Linklaters 
DanCann Pharma;2020-11-12;Spotlight;Corpura ;1;42;                          -1        ;132;4,5;100;Andreas Johansson,Jimmy Jonsson,JJV Invest,Tobias Schon,Alexander Ivarsson;;75;Jeppe Krog Rasmussen;Magnus Østergaard Dahlmann;27,39;Jeppe Krog Rasmussen via bolag,JJV Invest,Futur Pension;;Mikrobolag;0;-15,42;www.dancann.com;Andersen Partners 
Wastbygg;2020-10-13;Nasdaq Mid;Nordea,Swedbank ;1;950;                          2        ;3003;96;84;Svolder,Lansforsakringar;;31.,6;Jorgen Andersson;Cecilia Marlow;68,37;Rutger Arnhult via bolag,Jorgen Andersson via bolag,Svolder,Lansforsakringar;									Jorgen Andersson via bolag			;Miljardbolag;70.95;10,42;group.wastbygg.se;Gernandt & Danielsson,Setterwalls,Nordnet Bank 
Klimator;2020-10-23;Spotlight;InWest Corp. ;1;21;                          26        ;106;8,5;100;Kommadoran,T-bolaget med dess pensionsstiftelse,Holmenbacken,Stromberg Consulting,Magnus Nyman;;63.,2;Torbjorn Gustavsson;Per Danielsson;72,99;Torbjorn Gustavsson,Jorgen Bogren,Casselgren Innovation,Kommadoran,Garnisar;;Mikrobolag;0;88,24;www.klimator.se;Aqurat 
Lohilo Foods;2020-10-26;First North;Stockholm Corp. ;2;30;                          -77        ;323;22;100;Santhe Dahl Invest,Erik Selin via bolag,Erik Dahl;;66.,7;Richard Hertvig;Hans Jacobsson;26,54;Richard Hertvig och Dan Isaksson via bolag,Santhe Dahl Invest,Erik Selin via bolag,Hans Jacobsson,Erik Dahl;;Smabolag;0;23,41;lohilofoods.com;Nordnet Bank,MAQS,Hagberg & Aneborn FK 
Prostatype Genomics;2020-11-03;First North;Sedermera Corporate Finance ;4;37;                          -38        ;127;9,65;100;Creator Venture,Hakan Englund via bolag,La Familia Svensson,Anders Liljeblad via bolag,Gerhard Dal;;72.,7;Fredrik Persson;Anders Lundberg;7,64;Creathor Venture,ID Invest,Anders Liljeblad via bolag,Staffan Ek,Chunde Li;;Mikrobolag;0;-18,03;www.prostatypegenomics.com;Markets & Corporate Law 
Implantica;2020-09-21;First North;Pareto ;1;1100;                          -31        ;4025;65;100;Swedbank Robur Ny Teknik,Handelsbanken Fonder,TIN Fonder,Nordea Fonder,Skandia (Fonder och Forsakring);;72.,7;Peter Forsell;Liselott Kilaas;72,67;Implantica MediSwiss,Swedbank Robur Ny Teknik,Handelsbanken Fonder,Ny Teknik,Nordea Fonder;;Miljardbolag;100;48,55;www.implantica.com;Avanza Bank,Aktieinvest,Baker McKenzie,Roschier 
BoMill;2020-10-20;First North;Sedermera Corporate Finance ;1;30;                          -40        ;72;6;100;Capagro SAS,Almi Invest,Mosiki Svenska,Henrik Hedlund,Faro Capital;;75.,2;Andreas Jeppsson;Lars Persson;15,66;Capagro SAS,Henrik Hedlund,Industrifonden,Mosiki Svenska,Almi Invest;;Mikrobolag;0;-11,42;www.bomill.com;Markets & Corporate Law 
Readly;2020-09-17;Nasdaq Mid;ABG Sundal Collier ;3;720;                          -83        ;2168;59;63;C Worldwide Asset Management,Handelsbanken Fonder,Swedbank Robur,TIN Fonder,Skandia Fonder;;54.,2;Maria Hedengren;Patrick Svensk;4,49;Cleantech Europe II Lucenbourg Sarl,Swedbank Robur,Tredje AP Fonden,Joel Wikell,TIN Fonder;									Cleantech Europe II Luxembourg Sarl,					Joel Wikell,					Channel 4 Ventures,					Henrik Widov,					Millium			;Miljardbolag;34.42;10,17;corporate.readly.com/sv;Handelsbanken,Baker McKenzie,Avanza Bank,White & Case 
GPX Medical;2020-10-02;First North;Eminova ;1;23;                          -29        ;67;6,4;100;Norsk Elektro Optikk,Magnus Kenneby,Par Josefsson,Alexander Schoeneck,Faro Capital;;80;Hanna Sjostrom;Marta Lewander Xu;6,13;Norsk Elektro Optikk,Faro Capital,Emanuel Eriksson,Hanna Sjostrom,Marta Lewander Xu;;Mikrobolag;100;26,72;gpxmedical.se;Nordnet Bank,Eversheds Sutherland Advokatbyra 
ES Group;2020-09-30;Spotlight;Partner FK ;1;20;                          13        ;94;20;100;Gerhard Dal,Henrik Nilsson,Cormac Invest,Linus Lindsrom,Myrevarv Invest;;60;Fredrik Savenstrand;Leif Åkerblad;54,78;Fredrik Savenstrand via bolag,Christian Gulbrandsen,Gerhard Dal,Zhongshan Amitime Electronic,Cormac Invest;;Mikrobolag;100;-1;energysave.se;
LifeClean;2020-10-01;First North;Eminova ;2;40;                          -69        ;439;10,7;100;John Fallstrom,Daniel Sandberg,Liftraser,Polynom Investment,Petra Sas;;75.,5;Thomas Loow;Anders Rydberg;21,65;Ragnar Krefting via bolag,Varakani,Anders Rydberg,Jan Sjowall,John Fallstrom;;Smabolag;0;6,17;www.lifeclean.se;Glimstedt,Nordnet Bank 
Curasight;2020-10-08;Spotlight;Sedermera Corporate Finance ;1;45;                          97        ;323;14,4;100;Goran Ofsén,Krasilnikoff Holding,Mans Flodberg,Gerhard Dal,Niclas Danaliv;;79.,1;Ulrich Krasilnikoff;Per Falholt;86,19;Andreas Kjaer via bolag,Ulrich Krasilnikoff via bolag,Carsten H. Nielsen via bolag,Jacob Madsen via bolag,Lars Trolle via bolag;;Smabolag;100;148,26;curasight.com;Markets & Corporate Law,Nordnet Bank 
Exsitec;2020-09-16;First North;Erik Penser Bank ;0;70;                          388        ;410;35;75;Creades,Cliens Smabolag,Syringa Capital;;64.,4;Johan Kallblad;Peter Viberg;87,18;Klas Hillstrom via bolag,Peter Viberg via bolag,Johan Kallblad via bolag,Creades,Cliens Smabolag;;Smabolag;0;68,57;www.exsitec.se;Delphi 
Spotlight Group;2020-09-15;Spotlight;Sedermera Corporate Finance ;1;11;                          263        ;114;22,1;0;Tellus Fonder,Peter Gonczi med narstaende,Markus Neuding,Sebastian Hodel,Peter Nilsson;;51.,6;Peter Gonczi;Thorbjorn Wennerholm;8,12;Staffan Persson via bolag,Staffan Salén via bolag,Erik Åfors via bolag,Ingrid Marianne Olsson,Peter Gonczi med narstaende;									Varenne AB			;Mikrobolag;0;40,27;www.spotlightgroup.se;Markets & Corporate Law,Nordic Issuing 
Genova Property Group;2020-06-30;Nasdaq Mid;Carnegie,Swedbank ;0;650;                          62        ;2497;65;77;Lansforsakringar,Lancelot,Capital Resesarch och Management Company,Skandia Fonder;;69.,2;Michael Moschewitz;Mikael Borg;73,97;Micael Bile,Andreas Eneskjold,Lansforsakringar,Michael Moschewitz,Lancelot;									Micael Bile,					Andreas Eneskjold			;Miljardbolag;100;16,92;genova.se;Avanza Bank,Gernandt & Danielsson 
Northern CapSek Ventures;2020-07-07;NGM SME;Ingen radgivare ;13;12;                          -75        ;42;11;100;Peter Wendel (via bolag),Axator Energy,Jonas Sjoberg,Vertex Forvaltning,Cocolabel;;64.,5;Henrik Jerner;Peter Wendel;32,06;Peter Wendel (via bolag),Jonas Sjoberg,Axator Energy,Vertex Forvaltning,Cocolabel;;Mikrobolag;0;-27,27;capsek.se;Mangold FK,Delphi 
Tamturbo (installd);2020-06-09;First North Finland;Augment Partners ;1;64;                          0        ;269;3;100;OP Fund Management Company LTD managed funds,EAKR-Aloitusrahasto,KWH-koncernen,Nurmiranta Holdings,Mirallas Oy;;50;Timo Pulkki;Sami Somero;8,69;EAKR-Aloitusrahasto,KWH-koncernen,Nurmiranta Holdings,OP Fund Management Company LTD managed funds,Jaakko Sailakivi;;Smabolag;0;-;www.tamturbo.com;Nordnet Bank,Smartius 
Realtid Media (uppskjuten);2020-06-04;Ej angivet;Goteborg Corp.,Skills Corp. ;10;20;                          0        ;37;3;100;City Capital Partners;									Peter Liljestrand,					City Capital Asset Management,					Järpstenen,					Anders Björklund,					Rune Löderup			;80;Jonas Wiwen-Nilsson;Karl Samuelsson;3,45;Familjen Wiwen-Nilsson,Jarpstenen,Familjen af Jochnick,Custos,Gustaf Rentzhog;;Mikrobolag;0;-;www.realtidmedia.se;Lindahl 
Shape Robotics;2020-06-25;First North Denmark;Vastra Hamnen ;2;38;                          108        ;94;9,8;100;TAG Holding,Polynom Investment,Sebastian Clausin,Gerhard Dal,Jimmie Landermann;;66.,9;David Christensen;Lars Nyengaard;29,85;TAG Holding,Iskil Holding,Black Box Holding,Styrelsen for Institutioner og Uddannelsessystemer,Polynom Invest;;Mikrobolag;0;15;www.shaperobotics.com;Nordnet Bank,Moalem Weitemeyer Bendtsen,Danske Bank 
Ridercam (installd);2019-03-29;First North;Pinq Mango Capital Partners,Mangold FK ;8;23;                          0        ;170;5,75;100;;;0;Dominic Berger;Per Tamm;10,15;Angel Business Club Nominess,Jens Scheberg,Craig Blake Jones,Dominic Berger,WAP Irrevocable Trust;;Smabolag;0;-;www.ridercamsystems.com;
Magle Chemoswed;2020-06-30;First North;Vastra Hamnen ;1;50;                          13        ;200;20;0;Fosielund Holding,Birka Stock,Tibia Konsult,Mats Pettersson,Malin Malmsjo;;77.,5;Justin Pierce;Hans Henrik Lidgard;75;Hans Henrik Lidgard (via bolag),Fosielund Holding,Birka Stock,Tibia Konsult,Mats Pettersson;									Hans Henrik Lidgard (via bolag)			;Smabolag;0;2,55;maglechemoswed.com;Nordnet Bank,Aqurat,Vinge 
Aegirbio;2020-06-26;First North;Eminova ;5;15;                          165        ;65;7,5;100;John Fallstrom,Martin Linde (via bolag),Mikael Blihagen,Gerhard Dal,Fredrik Haglund;									John Fällström,					Martin Linde,					Gerhard Dal,					John Bäck,					Mikael Blihagen			;100;Martin Linde;Anders Ingvarsson;37,26;Life Assays,Abreos Sweden,John Fallstrom,Martin Linde,Mikael Blihagen;;Mikrobolag;100;66,67;aegirbio.com;Lindahl 
LED iBond;2020-06-15;First North Denmark;Vastra Hamnen ;2;46;                          -51        ;124;6,88;100;Midroc,Gerhard Dal,STN Invest,Christian Mansson,Modelio Equity;;62.,9;Rolf H. Sprunk-Jansen;Bjarne Henning Jensen;24,68;NLR Invest,Laromini,Green Technology Investments,Midroc,Gerhard Dal;;Mikrobolag;0;16,57;ledibond.com;Nordnet Bank,Arbejdernes Landsbank,Lundgrens Advokatparnerselskab 
